com.samsung.shealth.report,6267007,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Africa/Cairo,1682200800000,2023-04-30 12:20:56.326,2023-04-30 12:20:56.326,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,1614ace8-ec7b-48db-976b-2511a13481b2,1614ace8-ec7b-48db-976b-2511a13481b2.compressed_content.json,
Africa/Cairo,1682805600000,2023-05-07 11:28:10.858,2023-05-07 11:28:10.858,0,0,2,1Aysn0n5s3,X,com.sec.android.app.shealth,7e57aa27-cc8e-41b0-8564-cd6881ffa2c5,7e57aa27-cc8e-41b0-8564-cd6881ffa2c5.compressed_content.json,
Africa/Cairo,1683410400000,2023-05-14 11:27:30.487,2023-05-14 11:27:30.487,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,ee46a285-81ff-4627-9d72-646cde1a34c9,ee46a285-81ff-4627-9d72-646cde1a34c9.compressed_content.json,
Africa/Cairo,1684015200000,2023-05-21 11:27:32.392,2023-05-21 11:27:32.392,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,020c815f-b501-42cf-87e1-ab8f9a883d4d,020c815f-b501-42cf-87e1-ab8f9a883d4d.compressed_content.json,
Africa/Cairo,1684620000000,2023-05-28 11:55:25.988,2023-05-28 11:55:25.988,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,89096894-f93c-4d72-abad-505176b6c8a7,89096894-f93c-4d72-abad-505176b6c8a7.compressed_content.json,
Africa/Cairo,1685224800000,2023-06-04 11:45:53.518,2023-06-04 11:45:53.518,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,c0b0a09c-7fc6-4ff5-8276-572df67b5743,c0b0a09c-7fc6-4ff5-8276-572df67b5743.compressed_content.json,
Africa/Cairo,1685829600000,2023-06-11 11:32:15.138,2023-06-11 11:32:15.138,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,a2e34524-10dd-4c67-b589-3ee804547a9a,a2e34524-10dd-4c67-b589-3ee804547a9a.compressed_content.json,
Africa/Cairo,1686434400000,2023-06-18 11:51:35.909,2023-06-18 11:51:35.909,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,5bc8b4ad-3763-4bf9-b7f1-aa81ee88f7ba,5bc8b4ad-3763-4bf9-b7f1-aa81ee88f7ba.compressed_content.json,
Africa/Cairo,1687039200000,2023-06-25 12:15:19.021,2023-06-25 12:15:19.021,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,657dfd4f-522d-4778-8586-0c71074ecadf,657dfd4f-522d-4778-8586-0c71074ecadf.compressed_content.json,
Africa/Cairo,1687644000000,2023-07-02 11:27:31.758,2023-07-02 11:27:31.758,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,286e543c-3ff9-4564-a2b1-58e5b53d7d01,286e543c-3ff9-4564-a2b1-58e5b53d7d01.compressed_content.json,
America/New_York,1687665600000,2023-07-04 17:34:35.322,2023-07-04 17:34:35.322,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,104e33c0-e067-444d-a516-7886a9a4edaa,104e33c0-e067-444d-a516-7886a9a4edaa.compressed_content.json,
America/New_York,1688270400000,2023-07-09 17:27:30.564,2023-07-09 17:27:30.564,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,1c5d371c-1a0f-4fdc-84a9-dd7c2b158035,1c5d371c-1a0f-4fdc-84a9-dd7c2b158035.compressed_content.json,
America/New_York,1688875200000,2023-07-16 17:31:24.436,2023-07-16 17:31:24.436,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,a5912f04-dba6-4fea-a1c3-910b6f622a1c,a5912f04-dba6-4fea-a1c3-910b6f622a1c.compressed_content.json,
America/New_York,1689480000000,2023-07-23 17:27:32.503,2023-07-23 17:27:32.503,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,8e5f5abc-330c-41f0-bd51-c01d3d86a37d,8e5f5abc-330c-41f0-bd51-c01d3d86a37d.compressed_content.json,
America/New_York,1690084800000,2023-07-30 17:50:49.062,2023-07-30 17:50:49.062,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,1bb7baa2-6496-4445-b42c-0f17b344f7bb,1bb7baa2-6496-4445-b42c-0f17b344f7bb.compressed_content.json,
Africa/Cairo,1690063200000,2023-08-04 12:04:09.216,2023-08-04 12:04:09.216,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,1d4c17e0-aba3-4a96-9295-ee74a2cbb73e,1d4c17e0-aba3-4a96-9295-ee74a2cbb73e.compressed_content.json,
Africa/Cairo,1690668000000,2023-08-06 11:27:35.355,2023-08-06 11:27:35.355,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,8df83d51-647a-4ef0-ae3c-fefbf98f50da,8df83d51-647a-4ef0-ae3c-fefbf98f50da.compressed_content.json,
Africa/Cairo,1691272800000,2023-08-13 12:10:06.211,2023-08-13 12:10:06.211,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,9d8f3d92-04c5-4aaf-8421-d5f5f9625e7b,9d8f3d92-04c5-4aaf-8421-d5f5f9625e7b.compressed_content.json,
Africa/Cairo,1691877600000,2023-08-20 11:48:03.917,2023-08-20 11:48:03.917,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,62d25d66-c775-4b26-829c-70d0576f8fea,62d25d66-c775-4b26-829c-70d0576f8fea.compressed_content.json,
Africa/Cairo,1692482400000,2023-08-27 11:41:39.958,2023-08-27 11:41:39.958,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,a0c82647-6277-494e-90f9-67487baf89d0,a0c82647-6277-494e-90f9-67487baf89d0.compressed_content.json,
Asia/Seoul,1692457200000,2023-09-02 04:46:45.044,2023-09-02 04:46:45.044,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,41c9f8dd-f0f0-4618-93c8-cf63c13fffdf,41c9f8dd-f0f0-4618-93c8-cf63c13fffdf.compressed_content.json,
Asia/Seoul,1693062000000,2023-09-03 04:27:32.849,2023-09-03 04:27:32.849,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,d58f7ab4-87b1-4922-9de1-caf2a28c50c0,d58f7ab4-87b1-4922-9de1-caf2a28c50c0.compressed_content.json,
Asia/Seoul,1693666800000,2023-09-10 04:36:15.298,2023-09-10 04:36:15.298,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,3ad82065-1e8d-461c-81df-ea3e5cd10d4d,3ad82065-1e8d-461c-81df-ea3e5cd10d4d.compressed_content.json,
Asia/Seoul,1694271600000,2023-09-17 04:31:19.547,2023-09-17 04:31:19.547,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,f1fee63a-d8f7-401b-ba8e-613806d5ba0d,f1fee63a-d8f7-401b-ba8e-613806d5ba0d.compressed_content.json,
Asia/Seoul,1694876400000,2023-09-24 05:20:47.032,2023-09-24 05:20:47.032,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,23de188b-526c-42b2-be3f-a0c90eed31f5,23de188b-526c-42b2-be3f-a0c90eed31f5.compressed_content.json,
Asia/Seoul,1695481200000,2023-10-01 05:10:56.263,2023-10-01 05:10:56.263,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,be7959bf-f016-4a51-b4ef-72fc3932d10e,be7959bf-f016-4a51-b4ef-72fc3932d10e.compressed_content.json,
Asia/Seoul,1696086000000,2023-10-08 04:27:41.431,2023-10-08 04:27:41.431,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,b468f6aa-106c-4fef-ad13-9b7a69f23ec5,b468f6aa-106c-4fef-ad13-9b7a69f23ec5.compressed_content.json,
Asia/Seoul,1696690800000,2023-10-15 04:36:27.922,2023-10-15 04:36:27.922,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,9663e695-ad4e-4c0d-8e02-2bed4f6fb15d,9663e695-ad4e-4c0d-8e02-2bed4f6fb15d.compressed_content.json,
Asia/Seoul,1697295600000,2023-10-22 05:06:20.763,2023-10-22 05:06:20.763,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,dade94c1-47b6-480e-b7f4-f4f2923b3d55,dade94c1-47b6-480e-b7f4-f4f2923b3d55.compressed_content.json,
Asia/Seoul,1697900400000,2023-10-29 05:00:39.477,2023-10-29 05:00:39.477,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,acb04808-f7d2-41ba-ab9d-bdc71cc92b67,acb04808-f7d2-41ba-ab9d-bdc71cc92b67.compressed_content.json,
Asia/Seoul,1698505200000,2023-11-05 04:32:20.909,2023-11-05 04:32:20.909,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,3718161b-d4be-4934-91ab-f7a8f1a1c5a4,3718161b-d4be-4934-91ab-f7a8f1a1c5a4.compressed_content.json,
Asia/Seoul,1699110000000,2023-11-12 04:29:31.606,2023-11-12 04:29:31.606,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,12a7edbb-411f-4ed0-81ab-7d470bc6a388,12a7edbb-411f-4ed0-81ab-7d470bc6a388.compressed_content.json,
Asia/Seoul,1699714800000,2023-11-19 04:27:32.477,2023-11-19 04:27:32.477,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,9ce36f78-afe6-4f8e-bd9d-c46ee0ef0273,9ce36f78-afe6-4f8e-bd9d-c46ee0ef0273.compressed_content.json,
Asia/Seoul,1700319600000,2023-11-26 04:49:52.666,2023-11-26 04:49:52.666,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,adc22388-85c0-460f-8d75-5bc910d2544c,adc22388-85c0-460f-8d75-5bc910d2544c.compressed_content.json,
Asia/Seoul,1700924400000,2023-12-03 04:27:31.782,2023-12-03 04:27:31.782,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,134530a4-9422-4ce2-a87d-357ea18fea50,134530a4-9422-4ce2-a87d-357ea18fea50.compressed_content.json,
Asia/Seoul,1701529200000,2023-12-10 04:47:08.545,2023-12-10 04:47:08.545,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,e8c5974e-4230-4763-9015-54add5bd0b6a,e8c5974e-4230-4763-9015-54add5bd0b6a.compressed_content.json,
Asia/Seoul,1702134000000,2023-12-17 04:28:03.699,2023-12-17 04:28:03.699,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,325b3b0f-dd07-464a-993f-c1e726b750f7,325b3b0f-dd07-464a-993f-c1e726b750f7.compressed_content.json,
Asia/Seoul,1702738800000,2023-12-24 04:34:54.797,2023-12-24 04:34:54.797,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,1afafcdd-eaaf-45cf-b784-f6eb7286eca3,1afafcdd-eaaf-45cf-b784-f6eb7286eca3.compressed_content.json,
Asia/Qatar,1703365200000,2023-12-31 04:27:35.532,2023-12-31 04:27:35.532,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,fffb00ae-e94d-41b1-8d60-97e857791f4c,fffb00ae-e94d-41b1-8d60-97e857791f4c.compressed_content.json,
Europe/Berlin,1703977200000,2024-01-07 12:27:33.989,2024-01-07 12:27:33.989,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,8b829c1c-2844-47ed-9a59-a3b0db1a37c5,8b829c1c-2844-47ed-9a59-a3b0db1a37c5.compressed_content.json,
Europe/Berlin,1704582000000,2024-01-14 12:27:38.967,2024-01-14 12:27:38.967,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,f7f06edf-8672-43b0-8023-96c9bf2f3773,f7f06edf-8672-43b0-8023-96c9bf2f3773.compressed_content.json,
Europe/Prague,1705186800000,2024-01-21 12:49:52.690,2024-01-21 12:49:52.690,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,9066294b-c42d-4948-ba9c-44abaa987f83,9066294b-c42d-4948-ba9c-44abaa987f83.compressed_content.json,
Europe/Berlin,1705791600000,2024-01-28 12:27:32.588,2024-01-28 12:27:32.588,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,48a7d58d-0634-4338-8afb-561e700edfb0,48a7d58d-0634-4338-8afb-561e700edfb0.compressed_content.json,
Europe/Berlin,1706396400000,2024-02-04 12:39:32.247,2024-02-04 12:39:32.247,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,def5fd12-533f-46d7-9e15-11aeb0a80568,def5fd12-533f-46d7-9e15-11aeb0a80568.compressed_content.json,
Europe/Berlin,1707001200000,2024-02-11 12:29:38.021,2024-02-11 12:29:38.021,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,cdc7969c-8f83-4f79-b23e-8c1ff1f028e7,cdc7969c-8f83-4f79-b23e-8c1ff1f028e7.compressed_content.json,
Europe/Berlin,1707606000000,2024-02-18 12:43:12.802,2024-02-18 12:43:12.802,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,9a5a3af5-b826-4428-b1a0-f048c13d81e4,9a5a3af5-b826-4428-b1a0-f048c13d81e4.compressed_content.json,
Europe/Berlin,1708210800000,2024-02-25 12:45:18.363,2024-02-25 12:45:18.363,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,c82499e1-d15b-4f8b-b6ae-f06174b25209,c82499e1-d15b-4f8b-b6ae-f06174b25209.compressed_content.json,
Europe/Berlin,1708815600000,2024-03-03 13:08:58.576,2024-03-03 13:08:58.576,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,9f80b554-e034-46c4-9a11-083b159bafbb,9f80b554-e034-46c4-9a11-083b159bafbb.compressed_content.json,
Europe/Berlin,1709420400000,2024-03-10 12:28:39.959,2024-03-10 12:28:39.959,0,0,3,1Aysn0n5s3,X,com.sec.android.app.shealth,64d2f904-20bf-46e2-835c-b0a387a6e860,64d2f904-20bf-46e2-835c-b0a387a6e860.compressed_content.json,
