com.samsung.shealth.activity.day_summary,6267007,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,5619,,3554758,90,0,,2022-10-03 06:15:05.991,,2022-10-02 07:06:32.100,,,,-1,540000,65,,,,4185.67,,218.53003,4a7129db-90a0-4b24-9f28-aa2d56789ab5.extra_data.json,1Aysn0n5s3,4400,com.sec.android.app.shealth,3550358,39420000,4a7129db-90a0-4b24-9f28-aa2d56789ab5,1664668800000,
,,,,6733,,4156990,90,0,,2022-10-04 07:15:04.184,,2022-10-03 07:15:05.792,,,,-1,840000,76,,,,5146.9473,,256.69968,23e12a14-6fe6-4fc4-aab3-71089b7bcb24.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,4156990,19860000,23e12a14-6fe6-4fc4-aab3-71089b7bcb24,1664755200000,
,,,,1564,,994347,90,0,,2022-10-05 06:50:51.056,,2022-10-04 07:15:04.151,,,,-1,180000,17,,,,1186.8802,,56.859997,cfcb421b-12c0-46b5-b1f9-3b4042d6a7a7.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,994347,31980000,cfcb421b-12c0-46b5-b1f9-3b4042d6a7a7,1664841600000,
,,,,3810,,2442921,90,0,,2022-10-06 06:35:49.597,,2022-10-05 07:03:37.176,,,,-1,360000,44,,,,2864.3005,,143.5,3ba1b2ec-5802-4fb5-9b2e-8932125fc949.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,2442921,26580000,3ba1b2ec-5802-4fb5-9b2e-8932125fc949,1664928000000,
,,,,8331,,5248907,90,0,,2022-10-07 07:00:00.504,,2022-10-06 07:00:00.802,,,,-1,1260000,96,,,,6356.6587,,301.62003,623720ea-8b09-4211-a98f-eff4b27ecc0c.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,5248907,31680000,623720ea-8b09-4211-a98f-eff4b27ecc0c,1665014400000,
,,,,5360,,3440098,90,0,,2022-10-08 05:27:28.127,,2022-10-07 07:00:00.408,,,,-1,120000,63,,,,4039.7402,,198.8199,01f1c25b-4197-4a8b-a241-e986138d4507.extra_data.json,1Aysn0n5s3,2800,com.sec.android.app.shealth,3437298,36780000,01f1c25b-4197-4a8b-a241-e986138d4507,1665100800000,
,,,,7597,,4721131,90,0,,2022-10-09 07:03:14.089,,2022-10-08 08:16:54.284,,,,-1,360000,86,,,,5762.02,,274.65994,4a5c4c7d-89e2-4dc3-9ddc-f0005ff94e46.extra_data.json,1Aysn0n5s3,4400,com.sec.android.app.shealth,4716731,10020000,4a5c4c7d-89e2-4dc3-9ddc-f0005ff94e46,1665187200000,
,,,,8901,,5534705,90,0,,2022-10-10 05:53:23.569,,2022-10-09 07:03:14.055,,,,-1,420000,102,,,,6679.78,,341.48987,a3b1cdad-23a2-4ac7-b8ac-f32aea5b1743.extra_data.json,1Aysn0n5s3,3200,com.sec.android.app.shealth,5531505,40740000,a3b1cdad-23a2-4ac7-b8ac-f32aea5b1743,1665273600000,
,,,,8250,,5226422,90,0,,2022-10-11 06:13:50.565,,2022-10-10 07:15:28.643,,,,-1,360000,96,,,,6207.6094,,309.02,804fcc84-eb2c-4c05-924f-3155301e2d5e.extra_data.json,1Aysn0n5s3,800,com.sec.android.app.shealth,5225622,35820000,804fcc84-eb2c-4c05-924f-3155301e2d5e,1665360000000,
,,,,3921,,2504802,90,0,,2022-10-12 05:22:38.050,,2022-10-11 07:00:01.412,,,,-1,360000,45,,,,2936.0696,,150.96997,a4d915b9-0fac-4e0b-bea7-b88dc71c4c46.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,2504802,23220000,a4d915b9-0fac-4e0b-bea7-b88dc71c4c46,1665446400000,
,,,,3656,,2333930,90,0,,2022-10-13 06:15:03.129,,2022-10-12 07:00:00.570,,,,-1,240000,42,,,,2754.7898,,137.32,5dc3f546-54b4-41c0-bda6-c8eedb09c50d.extra_data.json,1Aysn0n5s3,6400,com.sec.android.app.shealth,2327530,31200000,5dc3f546-54b4-41c0-bda6-c8eedb09c50d,1665532800000,
,,,,1434,,956478,90,0,,2022-10-14 02:19:16.979,,2022-10-13 07:00:00.565,,,,-1,60000,16,,,,1068.13,,53.129993,75ad1458-9c49-4d8b-aa16-d031bc0c390f.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,956478,46200000,75ad1458-9c49-4d8b-aa16-d031bc0c390f,1665619200000,
,,,,8610,,5487786,90,0,,2022-10-15 04:59:59.443,,2022-10-14 07:00:01.510,,,,-1,631000,101,,,,6497.936,,328.11603,d41c1da1-42bf-43a3-8b69-722d2bf47290.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,5487786,21780000,d41c1da1-42bf-43a3-8b69-722d2bf47290,1665705600000,
,,,,1116,,744372,90,0,,2022-10-16 07:07:47.376,,2022-10-15 07:32:06.970,,,,-1,51359,13,,,,834.3799,,40.859997,8c49ef10-0e6a-4560-a7e3-1b83cb57cc0d.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,744372,34800000,8c49ef10-0e6a-4560-a7e3-1b83cb57cc0d,1665792000000,
